id|nct_id|ctgov_group_code|units|scope|count
1|NCT02987374|B1|Participants|Overall|10
2|NCT02920749|B5|Participants|Overall|120
3|NCT02920749|B4|Participants|Overall|30
4|NCT02920749|B3|Participants|Overall|30
5|NCT02920749|B2|Participants|Overall|30
6|NCT02920749|B1|Participants|Overall|30
7|NCT02919657|B1|Participants|Overall|20
8|NCT02882152|B3|Participants|Overall|39
9|NCT02882152|B2|Participants|Overall|20
10|NCT02882152|B1|Participants|Overall|19
11|NCT02829775|B1|Participants|Overall|9
12|NCT02829463|B3|Participants|Overall|121
13|NCT02829463|B2|Participants|Overall|62
14|NCT02829463|B1|Participants|Overall|59
15|NCT02828137|B4|Participants|Overall|123
16|NCT02828137|B3|Participants|Overall|41
17|NCT02828137|B2|Participants|Overall|41
18|NCT02828137|B1|Participants|Overall|41
19|NCT02809833|B1|Participants|Overall|850
20|NCT02808130|B7|Participants|Overall|90
21|NCT02808130|B6|Participants|Overall|15
22|NCT02808130|B5|Participants|Overall|15
23|NCT02808130|B4|Participants|Overall|15
24|NCT02808130|B3|Participants|Overall|15
25|NCT02808130|B2|Participants|Overall|15
26|NCT02808130|B1|Participants|Overall|15
27|NCT02806544|B1|Participants|Overall|35
28|NCT02806505|B3|Participants|Overall|81
29|NCT02806505|B2|Participants|Overall|43
30|NCT02806505|B1|Participants|Overall|38
31|NCT02796092|B3|Participants|Overall|100
32|NCT02796092|B2|Participants|Overall|50
33|NCT02796092|B1|Participants|Overall|50
34|NCT02792049|B3|Participants|Overall|70
35|NCT02792049|B2|Participants|Overall|35
36|NCT02792049|B1|Participants|Overall|35
37|NCT02788097|B3|Participants|Overall|130
38|NCT02788097|B2|Participants|Overall|69
39|NCT02788097|B1|Participants|Overall|61
40|NCT02780622|B1|Participants|Overall|20
41|NCT02774278|B1|Participants|Overall|264
42|NCT02773758|B3|Participants|Overall|141
43|NCT02773758|B2|Participants|Overall|69
44|NCT02773758|B1|Participants|Overall|72
45|NCT02772666|B1|Participants|Overall|44
46|NCT02766400|B3|Participants|Overall|43
47|NCT02766400|B2|Participants|Overall|22
48|NCT02766400|B1|Participants|Overall|21
49|NCT02766244|B1|Participants|Overall|3
50|NCT02765269|B3|Participants|Overall|46
51|NCT02765269|B2|Participants|Overall|21
52|NCT02765269|B1|Participants|Overall|25
53|NCT02761629|B3|Participants|Overall|165
54|NCT02761629|B2|Participants|Overall|85
55|NCT02761629|B1|Participants|Overall|80
56|NCT02755805|B3|Participants|Overall|30
57|NCT02755805|B2|Participants|Overall|15
58|NCT02755805|B1|Participants|Overall|15
59|NCT02753699|B4|Participants|Overall|723
60|NCT02753699|B3|Participants|Overall|162
61|NCT02753699|B2|Participants|Overall|397
62|NCT02753699|B1|Participants|Overall|164
63|NCT02750943|B3|Participants|Overall|253
64|NCT02750943|B2|Participants|Overall|128
65|NCT02750943|B1|Participants|Overall|125
66|NCT02750709|B1|Participants|Overall|24
67|NCT02750345|B1|Participants|Overall|24
68|NCT02750332|B1|Participants|Overall|20
69|NCT02748213|B3|Participants|Overall|222
70|NCT02748213|B2|Participants|Overall|110
71|NCT02748213|B1|Participants|Overall|112
72|NCT02746679|B3|Participants|Overall|151
73|NCT02746679|B2|Participants|Overall|75
74|NCT02746679|B1|Participants|Overall|76
75|NCT02746107|B1|Participants|Overall|968
76|NCT02743936|B3|Participants|Overall|64
77|NCT02743936|B2|Participants|Overall|32
78|NCT02743936|B1|Participants|Overall|32
79|NCT02743702|B3|Participants|Overall|21
80|NCT02743702|B2|Participants|Overall|10
81|NCT02743702|B1|Participants|Overall|11
82|NCT02739594|B3|Participants|Overall|81
83|NCT02739594|B2|Participants|Overall|40
84|NCT02739594|B1|Participants|Overall|41
85|NCT02736721|B1|Participants|Overall|41
86|NCT02732639|B1|Participants|Overall|31
87|NCT02732210|B3|Participants|Overall|935
88|NCT02732210|B2|Participants|Overall|632
89|NCT02732210|B1|Participants|Overall|303
90|NCT02731313|B1|Participants|Overall|367
91|NCT02731300|B3|Participants|Overall|22
92|NCT02731300|B2|Participants|Overall|7
93|NCT02731300|B1|Participants|Overall|15
94|NCT02731131|B3|Participants|Overall|12
95|NCT02731131|B2|Participants|Overall|6
96|NCT02731131|B1|Participants|Overall|6
97|NCT02730260|B3|Participants|Overall|518
98|NCT02730260|B2|Participants|Overall|260
99|NCT02730260|B1|Participants|Overall|258
100|NCT02726022|B1|Participants|Overall|114
101|NCT02717754|B7|Participants|Overall|99
102|NCT02717754|B6|Participants|Overall|20
103|NCT02717754|B5|Participants|Overall|20
104|NCT02717754|B4|Participants|Overall|10
105|NCT02717754|B3|Participants|Overall|20
106|NCT02717754|B2|Participants|Overall|19
107|NCT02717754|B1|Participants|Overall|10
108|NCT02716779|B4|Participants|Overall|67
109|NCT02716779|B3|Participants|Overall|27
110|NCT02716779|B2|Participants|Overall|26
111|NCT02716779|B1|Participants|Overall|14
112|NCT02354833|B3|Participants|Overall|81
113|NCT02354833|B2|Participants|Overall|43
114|NCT02354833|B1|Participants|Overall|38
115|NCT02709577|B3|Participants|Overall|27
116|NCT02709577|B2|Participants|Overall|9
117|NCT02709577|B1|Participants|Overall|18
118|NCT02708524|B5|Participants|Overall|548
119|NCT02708524|B4|Participants|Overall|136
120|NCT02708524|B3|Participants|Overall|137
121|NCT02708524|B2|Participants|Overall|136
122|NCT02708524|B1|Participants|Overall|139
123|NCT02708277|B3|Participants|Overall|82
124|NCT02708277|B2|Participants|Overall|39
125|NCT02708277|B1|Participants|Overall|43
126|NCT02708238|B4|Participants|Overall|176
127|NCT02708238|B3|Participants|Overall|57
128|NCT02708238|B2|Participants|Overall|59
129|NCT02708238|B1|Participants|Overall|60
130|NCT02708212|B3|Participants|Overall|120
131|NCT02708212|B2|Participants|Overall|60
132|NCT02708212|B1|Participants|Overall|60
133|NCT02707640|B3|Participants|Overall|122
134|NCT02707640|B2|Participants|Overall|62
135|NCT02707640|B1|Participants|Overall|60
136|NCT00741104|B1|Participants|Overall|363
137|NCT02701387|B1|Participants|Overall|7
138|NCT02701270|B1|Participants|Overall|12
139|NCT02699892|B1|Participants|Overall|130
140|NCT02694718|B1|Participants|Overall|60
141|NCT02694315|B1|Participants|Overall|200
142|NCT02694198|B1|Participants|Overall|135
143|NCT02693704|B5|Participants|Overall|40
144|NCT02693704|B4|Participants|Overall|10
145|NCT02693704|B3|Participants|Overall|10
146|NCT02693704|B2|Participants|Overall|10
147|NCT02693704|B1|Participants|Overall|10
148|NCT02691416|B3|Participants|Overall|60
149|NCT02691416|B2|Participants|Overall|30
150|NCT02691416|B1|Participants|Overall|30
151|NCT02687217|B3|Participants|Overall|60
152|NCT02687217|B2|Participants|Overall|30
153|NCT02687217|B1|Participants|Overall|30
154|NCT02684604|B3|Participants|Overall|88
155|NCT02684604|B2|Participants|Overall|44
156|NCT02684604|B1|Participants|Overall|44
157|NCT02684396|B7|Participants|Overall|39
158|NCT02684396|B6|Participants|Overall|10
159|NCT02684396|B5|Participants|Overall|5
160|NCT02684396|B4|Participants|Overall|6
161|NCT02684396|B3|Participants|Overall|6
162|NCT02684396|B2|Participants|Overall|6
163|NCT02684396|B1|Participants|Overall|6
164|NCT02683954|B3|Participants|Overall|60
165|NCT02683954|B2|Participants|Overall|30
166|NCT02683954|B1|Participants|Overall|30
167|NCT02681458|B3|Participants|Overall|1436
168|NCT02681458|B2|Participants|Overall|718
169|NCT02681458|B1|Participants|Overall|718
170|NCT02679976|B1|Participants|Overall|30
171|NCT02678676|B3|Participants|Overall|3599
172|NCT02678676|B2|Participants|Overall|1779
173|NCT02678676|B1|Participants|Overall|1820
174|NCT02677779|B3|Participants|Overall|20
175|NCT02677779|B2|Participants|Overall|10
176|NCT02677779|B1|Participants|Overall|10
177|NCT02673944|B1|Participants|Overall|10
178|NCT02670811|B3|Participants|Overall|36
179|NCT02670811|B2|Participants|Overall|18
180|NCT02670811|B1|Participants|Overall|18
181|NCT02666560|B1|Participants|Overall|19
182|NCT02666222|B1|Participants|Overall|51
183|NCT02664987|B1|Participants|Overall|462
184|NCT02664532|B3|Participants|Overall|150
185|NCT02664532|B2|Participants|Overall|75
186|NCT02664532|B1|Participants|Overall|75
187|NCT02663232|B1|Participants|Overall|264
188|NCT02658461|B4|Participants|Overall|36
189|NCT02658461|B3|Participants|Overall|12
190|NCT02658461|B2|Participants|Overall|12
191|NCT02658461|B1|Participants|Overall|12
192|NCT02657629|B3|Participants|Overall|26
